Risk_Description,Impact,Likelihood
Weak authentication mechanisms like basic auth allow brute force credential attacks,3,4
Outdated operating systems no longer receiving security patches contain unfixed vulnerabilities,4,5
Web application firewall misconfigured and not blocking common injection attacks,3,2
"Denial of service attack overwhelms application servers with traffic, taking site offline",4,2
No encryption on mobile devices leads to data breach if devices lost or stolen,3,2
Weak passwords used across systems enable credential stuffing and lateral movement,4,5
Unrestricted outbound firewall rules allow malware to phone home and exfiltrate data,2,3
Administrator laptop containing unencrypted sensitive data is lost or stolen,3,1
Improper segmentation enables lateral movement across network if endpoint compromised,4,3
Code repository containing passwords and keys is mistakenly made public,5,1
No multifactor authentication enables compromised credentials to be easily abused,3,4
Unpatched vulnerability in web framework enables remote code execution on servers,4,3
Lack of email security and filters enables phishing attacks and social engineering,2,4
No inventory of authorized devices enables rogue systems and backdoors on network,3,2
Improper certificate management leads to expired TLS certificates and warnings,2,3
Lack of least privilege allows standard users to access admin functions,3,2
Insufficient capacity planning causes performance issues under high load spikes,2,4
Extended network outage from failed core router leading to total loss of connectivity and inability to access critical systems,5,4
"Cryptolocker ransomware infection spreads through network shares, encrypting sensitive files across multiple servers",4,3
"Accidental deletion of production database by admin, requiring restoration from 12-hour old backups and potential data loss",3,2
Data center cooling system failure due to refrigerant leak causes overheating and emergency shutdown of critical servers,5,2
"DDoS attack floods inbound internet links, disrupting customer access to public-facing applications",3,4
Web application vulnerability exploited to extract customer PII from database for identity theft and fraud,4,3
"Malware circumvents endpoint protection to encrypt files on accounting department systems, disrupting operations",3,3
"Email phishing campaign tricks users into downloading trojan, allowing attacker remote access to internal network",4,4
